"Name","Team","Games Played","RB PTS%","ATT%","YD%","TD%","TGT%","REC%","YD%","TD%"
"Ezekiel Elliott","DAL","15","22.0","24.7","18.5","75.0","2.8","3.5","1.9","0.0"
"Emanuel Wilson","GB","17","21.9","23.1","24.7","20.0","3.0","3.6","1.2","3.6"
"Audric Estime","DEN","13","20.2","28.0","28.5","28.6","1.2","1.7","0.9","0.0"
"D'Onta Foreman","CLE","11","19.9","37.0","28.9","0.0","2.1","2.5","2.5","0.0"
"Raheem Mostert","MIA","13","19.6","28.3","22.0","25.0","5.3","5.9","5.0","0.0"
"Ty Johnson","BUF","17","18.8","11.3","12.7","5.0","5.1","5.5","7.2","10.3"
"Tyler Badie","DEN","3","17.6","18.3","34.3","0.0","3.3","5.3","-0.4","0.0"
"Dameon Pierce","HOU","11","17.5","16.8","24.6","18.2","1.2","0.9","0.1","0.0"
"Kimani Vidal","LAC","10","16.8","20.1","19.4","0.0","2.9","2.2","2.4","6.7"
"Emari Demercado","ARI","13","16.5","8.4","16.3","14.3","5.2","5.9","3.6","0.0"
"Jeremy McNichols","WAS","17","16.3","15.5","16.3","22.2","2.4","2.5","0.7","0.0"
"Chris Rodriguez Jr.","WAS","10","15.0","17.2","20.3","18.2","0.3","0.5","0.5","0.0"
"Kyle Juszczyk","SF","17","14.8","1.5","1.6","11.1","6.0","5.4","4.5","8.7"
"Jonathon Brooks","CAR","3","14.5","14.3","10.2","0.0","2.8","4.5","3.1","0.0"
"Trey Benson","ARI","13","14.4","21.5","20.4","11.1","1.6","2.2","2.0","0.0"
"Sean Tucker","TB","17","14.3","12.5","15.1","15.4","2.1","2.2","2.4","2.4"
"Pierre Strong Jr.","CLE","14","13.6","9.7","9.7","0.0","4.1","4.2","3.1","0.0"
"D'Ernest Johnson","JAX","14","13.3","11.3","11.8","0.0","4.7","4.5","3.3","0.0"
"Trey Sermon","IND","17","13.2","14.3","9.1","14.3","3.9","5.6","2.8","0.0"
"Cordarrelle Patterson","PIT","13","12.7","10.0","10.9","0.0","3.9","4.7","2.9","6.3"
"Dare Ogunbowale","HOU","17","12.6","8.2","6.9","0.0","5.1","5.3","5.0","5.0"
"Kenneth Gainwell","PHI","17","12.4","16.6","12.2","7.1","5.3","5.3","3.3","0.0"
"Isaiah Davis","NYJ","17","12.1","9.1","12.6","12.5","2.0","2.3","1.9","3.2"
"Jamaal Williams","NO","14","12.1","17.3","15.3","12.5","2.6","3.3","2.0","0.0"
"MarShawn Lloyd","GB","1","11.9","14.0","8.6","0.0","7.7","8.3","2.5","0.0"
"Patrick Taylor Jr.","SF","13","11.9","15.1","14.1","12.5","2.7","1.1","0.7","0.0"
"Kene Nwangwu","NYJ","2","11.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyler Goodson","IND","16","11.6","8.5","9.0","7.7","3.2","3.9","1.8","5.6"
"Hassan Haskins","LAC","17","10.1","9.1","5.9","13.3","0.6","0.9","1.3","4.3"
"Dalvin Cook","DAL","2","10.0","25.0","14.9","0.0","1.2","1.8","2.0","0.0"
"Khalil Herbert","CHI","14","9.9","12.7","12.1","10.0","2.1","2.7","0.6","0.0"
"Cody Schrader","LAR","1","9.8","6.7","4.9","0.0","2.5","3.7","1.8","0.0"
"Chris Brooks","GB","15","9.7","9.4","10.6","5.0","3.1","3.9","1.9","0.0"
"Blake Corum","LAR","17","9.5","14.6","12.9","0.0","1.5","1.9","1.4","0.0"
"JaMycal Hasty","NE","15","9.3","6.3","5.3","0.0","2.7","3.4","2.1","7.1"
"Terrell Jennings","NE","3","9.1","20.6","17.1","0.0","1.1","0.0","0.0","0.0"
"Jordan Mims","NO","11","8.7","8.3","7.4","0.0","6.2","6.2","3.1","0.0"
"Deuce Vaughn","DAL","7","8.5","13.3","13.9","0.0","1.8","1.7","0.9","0.0"
"Michael Burton","DEN","17","8.1","2.0","0.6","12.5","1.8","2.6","1.7","3.4"
"Ty Chandler","MIN","17","8.0","14.7","11.2","0.0","1.2","1.6","1.0","0.0"
"Jaylen Wright","MIA","15","7.9","20.5","19.5","0.0","1.2","0.8","0.2","0.0"
"Hunter Luepke","DAL","16","7.9","3.6","2.7","0.0","2.8","3.3","3.0","0.0"
"Jase McClellan","ATL","2","7.7","25.5","15.5","0.0","0.0","0.0","0.0","0.0"
"Carson Steele","KC","17","7.1","15.6","13.9","0.0","1.9","1.7","0.6","0.0"
"Kenny McIntosh","SEA","17","5.9","9.6","13.0","0.0","0.7","0.7","0.5","0.0"
"Alec Ingold","MIA","15","5.9","2.9","1.2","12.5","2.4","3.0","2.7","0.0"
"J.J. Taylor","HOU","5","5.5","9.1","12.2","0.0","1.7","1.8","0.0","0.0"
"Jermar Jefferson","DET","2","5.2","10.3","7.4","0.0","1.5","2.0","1.6","0.0"
