"Name","Team","Games Played","WR PTS%","TGT%","REC%","YD%","TD%"
"Joshua Palmer","LAC","15","19.6","14.9","13.3","17.2","5.0"
"Parker Washington","JAX","17","19.2","9.8","9.3","10.5","15.8"
"Devaughn Vele","DEN","13","18.8","12.8","13.6","15.4","11.5"
"Tyler Lockett","SEA","17","18.8","13.0","11.9","13.7","9.5"
"Marquise Brown","KC","2","18.7","19.0","15.8","15.7","0.0"
"Dante Pettis","NO","8","18.7","12.4","8.4","7.4","10.0"
"Mack Hollins","BUF","17","18.5","10.1","9.4","9.6","17.2"
"Olamide Zaccheaus","WAS","17","18.2","12.7","12.4","12.9","10.7"
"Gabe Davis","JAX","10","17.8","14.5","10.6","11.3","18.2"
"Demarcus Robinson","LAR","17","17.6","11.8","8.4","12.3","31.8"
"Dontayvion Wicks","GB","17","17.5","16.4","12.7","10.5","17.9"
"Brandin Cooks","DAL","10","17.2","16.0","12.2","11.0","21.4"
"David Bell","CLE","1","17.0","9.1","13.6","14.5","0.0"
"KaVontae Turpin","DAL","17","16.3","8.4","7.8","10.3","8.7"
"Tyrell Shavers","BUF","3","15.7","1.1","2.1","10.4","25.0"
"Jalen Nailor","MIN","17","15.5","8.1","7.7","9.5","17.1"
"Kevin Austin Jr.","NO","8","15.5","9.8","7.7","9.3","0.0"
"Tyler Boyd","TEN","16","15.3","11.9","12.2","11.6","0.0"
"Van Jefferson","PIT","17","15.3","8.7","7.5","7.6","9.5"
"Andrei Iosivas","CIN","17","15.2","9.7","7.8","9.7","14.3"
"Cedrick Wilson Jr.","NO","15","14.9","6.2","7.1","6.9","5.3"
"David Moore","CAR","17","14.7","11.0","9.4","10.3","13.6"
"Parris Campbell","PHI","5","14.5","6.4","6.6","3.4","25.0"
"Sterling Shepard","TB","14","14.2","10.6","9.3","9.1","3.2"
"Malik Washington","MIA","14","13.9","7.8","7.5","6.8","0.0"
"Tim Patrick","DET","16","13.5","9.0","8.7","8.8","8.3"
"Curtis Samuel","BUF","14","13.4","11.2","11.4","7.8","4.3"
"DJ Turner","LV","12","13.2","7.0","5.4","5.4","7.1"
"Bub Means","NO","7","13.0","7.0","6.2","7.5","11.1"
"K.J. Osborn","NE","8","12.9","8.0","4.7","4.1","12.5"
"Tutu Atwell","LAR","17","12.7","11.5","11.4","13.7","0.0"
"Josh Reynolds","DEN","9","12.7","8.3","6.7","10.7","11.1"
"Jamison Crowder","WAS","6","12.6","7.3","6.9","5.3","15.4"
"John Metchie III","HOU","13","12.5","9.2","9.3","8.7","7.1"
"JuJu Smith-Schuster","KC","14","12.3","5.8","5.8","7.2","10.5"
"Kalif Raymond","DET","12","12.2","6.7","6.6","7.0","9.1"
"Justin Watson","KC","17","11.6","5.6","5.5","7.2","8.0"
"Nelson Agholor","BAL","14","11.1","7.5","5.1","6.5","5.9"
"Dyami Brown","WAS","16","10.9","8.5","8.8","8.3","4.0"
"Troy Franklin","DEN","16","10.2","10.5","8.0","7.2","6.9"
"Mike Williams","NYJ","18","10.0","6.0","5.5","7.3","3.4"
"Ja'Lynn Polk","NE","15","9.7","7.5","4.0","3.0","12.5"
"Tyquan Thornton","NE","6","9.4","4.9","4.0","5.4","0.0"
"Lil'Jordan Humphrey","DEN","17","9.0","8.2","8.2","7.7","3.4"
"Mecole Hardman","KC","12","8.6","3.5","4.2","3.0","0.0"
"John Ross","PHI","1","8.5","6.9","5.6","3.8","0.0"
"Adonai Mitchell","IND","17","8.4","11.2","8.0","8.7","0.0"
"Tyler Johnson","LAR","15","8.4","8.3","7.7","7.7","4.8"
"Ryan Miller","TB","11","8.2","5.5","4.5","4.3","7.4"
"Jordan Whittington","LAR","15","8.1","6.0","6.9","8.3","0.0"
"Tylan Wallace","BAL","17","7.9","2.6","3.5","4.6","2.4"
"Michael Woods II","CLE","5","7.7","8.5","5.7","5.4","0.0"
"Derius Davis","LAC","15","7.4","4.0","4.5","3.4","9.5"
"Ainias Smith","PHI","7","7.3","5.5","5.8","2.7","9.1"
"Jahan Dotson","PHI","17","7.2","7.9","6.3","6.1","0.0"
"Malik Heath","GB","13","7.0","3.8","4.3","3.3","8.7"
"Mason Tipton","NO","11","7.0","8.4","6.9","4.3","0.0"
"Jalen Brooks","DAL","14","6.8","6.0","3.7","5.4","5.3"
"Anthony Miller","BAL","2","6.5","2.6","3.8","4.1","0.0"
"Britain Covey","PHI","5","6.2","6.2","7.1","3.2","0.0"
"Robert Woods","HOU","15","6.2","6.0","6.1","5.5","0.0"
"Simi Fehoko","LAC","8","6.1","7.5","4.1","6.1","0.0"
"Trey Palmer","TB","15","5.8","4.4","3.3","4.3","2.9"
"Treylon Burks","TEN","5","5.7","6.0","4.3","4.3","0.0"
"Zay Jones","ARI","11","5.5","3.1","3.1","3.1","0.0"
"Rakim Jarrett","TB","10","5.2","3.3","3.7","4.7","0.0"
"Ben Skowronek","PIT","10","5.2","1.9","2.7","3.4","0.0"
"Luke McCaffrey","WAS","17","5.1","4.8","4.9","4.3","0.0"
"River Cracraft","MIA","8","5.1","3.2","3.3","3.2","0.0"
"Jonathan Mingo","CAR","17","4.8","7.6","4.8","4.7","0.0"
"Bryce Oliver","TEN","10","4.8","3.0","3.1","4.0","0.0"
"DJ Chark","LAC","7","4.7","4.8","2.6","1.9","9.1"
"Jalen Reagor","LAC","8","4.6","5.2","4.5","5.1","0.0"
"Jake Bobo","SEA","17","4.5","3.0","3.1","2.4","4.8"
"Odell Beckham Jr.","MIA","9","4.5","5.8","3.9","2.4","0.0"
"Dee Eskridge","MIA","6","4.4","1.6","2.1","3.4","0.0"
"Nikko Remigio","KC","5","4.4","3.5","1.8","4.5","0.0"
"KhaDarel Hodge","ATL","17","4.2","2.2","1.9","3.1","4.8"
"Terrace Marshall Jr.","LV","7","4.1","2.4","1.8","2.3","0.0"
"Ryan Flournoy","DAL","11","3.9","3.4","3.8","3.9","0.0"
"Scotty Miller","PIT","13","3.9","2.6","2.1","2.7","0.0"
"Cody White","SEA","4","3.9","2.5","2.3","4.2","0.0"
"Ashton Dulin","IND","15","3.8","1.9","0.8","2.0","5.6"
"Alex Bachman","LV","6","3.8","1.6","2.3","2.6","0.0"
"Devin Duvernay","JAX","13","3.8","3.9","4.1","2.8","0.0"
"Xavier Hutchinson","HOU","16","3.8","5.1","3.6","3.2","0.0"
"Bo Melton","GB","17","3.6","3.7","2.6","2.3","0.0"
"Devontez Walker","BAL","9","3.2","1.4","0.6","0.9","3.6"
"DeAndre Carter","CHI","13","3.2","3.4","3.3","2.6","0.0"
"Trent Sherfield Sr.","MIN","17","3.1","1.7","2.2","1.9","2.9"
"Kendric Pryor","CIN","2","3.0","1.2","1.6","1.7","0.0"
"Grant DuBose","MIA","3","3.0","3.6","2.6","1.4","0.0"
"Johnny Wilson","PHI","16","2.8","3.8","1.7","1.1","4.3"
"Isaiah Hodgins","NYG","3","2.8","2.0","3.0","1.8","0.0"
"Dan Chisena","CAR","6","2.6","2.1","2.4","2.7","0.0"
"Chris Conley","SF","15","2.6","2.7","2.0","2.0","0.0"
"Laviska Shenault Jr.","SEA","12","2.6","1.2","1.7","1.1","0.0"
"Trent Taylor","SF","2","2.5","1.4","2.1","1.9","0.0"
"Jacob Cowing","SF","15","2.5","1.3","1.3","2.0","0.0"
"Deven Thompkins","CAR","7","2.4","1.9","3.0","1.4","0.0"
"Jalin Hyatt","NYG","16","2.3","3.7","2.3","1.9","0.0"
"Xavier Gipson","NYJ","17","2.1","1.7","1.6","1.0","3.2"
"Jermaine Burton","CIN","14","2.1","2.7","1.1","2.6","0.0"
