"Name","Team","TGT","TGT%","REC","REC%","CATCH%","TDS","TD%","TGT","TGT%","REC","REC%","CATCH%","TDS","TD%"
"Jaylen Wright","MIA","1","16.7%","1","33.3%","100.0%","0","0.0%","1","16.7%","1","33.3%","100.0%","0","0.0%"
"Jacob Cowing","SF","3","50.0%","2","50.0%","66.7%","0","0.0%","1","16.7%","0","0.0%","0.0%","0","0.0%"
"Ben Sinnott","WAS","1","20.0%","1","20.0%","100.0%","1","100.0%","1","20.0%","1","20.0%","100.0%","1","100.0%"
"Cade Stover","HOU","3","13.6%","3","20.0%","100.0%","1","100.0%","1","4.5%","1","6.7%","100.0%","0","0.0%"
"Isaiah Davis","NYJ","3","25.0%","2","22.2%","66.7%","1","100.0%","1","8.3%","1","11.1%","100.0%","1","100.0%"
"Bo Nix","DEN","1","100.0%","1","100.0%","100.0%","1","100.0%","1","100.0%","1","100.0%","100.0%","1","100.0%"
"Tyrone Tracy Jr.","NYG","4","7.5%","4","10.5%","100.0%","1","100.0%","1","1.9%","1","2.6%","100.0%","1","100.0%"
"Will Shipley","PHI","1","25.0%","1","25.0%","100.0%","0","0.0%","1","25.0%","1","25.0%","100.0%","0","0.0%"
"Malik Washington","MIA","2","5.6%","2","7.7%","100.0%","0","0.0%","1","2.8%","1","3.8%","100.0%","0","0.0%"
"Bub Means","NO","1","6.7%","1","11.1%","100.0%","1","100.0%","1","6.7%","1","11.1%","100.0%","1","100.0%"
"Cam Grandy","CIN","2","40.0%","2","40.0%","100.0%","0","0.0%","1","20.0%","1","20.0%","100.0%","0","0.0%"
"Raheem Mostert","MIA","2","8.7%","1","5.3%","50.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Ezekiel Elliott","DAL","2","13.3%","1","8.3%","50.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Alvin Kamara","NO","6","6.7%","3","4.4%","50.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Evan Engram","JAX","5","7.8%","4","8.5%","80.0%","1","100.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Jeremy McNichols","WAS","2","16.7%","2","22.2%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Taysom Hill","NO","2","6.5%","2","8.7%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Cedrick Wilson Jr.","NO","1","3.7%","1","5.0%","100.0%","1","100.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Brandon Powell","MIN","1","10.0%","1","14.3%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"David Montgomery","DET","3","7.9%","3","8.3%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Miles Sanders","CAR","4","13.3%","3","12.5%","75.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Marquise Brown","KC","2","13.3%","1","11.1%","50.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"J.K. Dobbins","LAC","5","13.2%","5","15.6%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Devin Duvernay","JAX","2","12.5%","2","18.2%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"JaMycal Hasty","NE","1","8.3%","1","10.0%","100.0%","1","100.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Najee Harris","PIT","4","8.3%","4","11.1%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Trey Sermon","IND","3","15.8%","2","12.5%","66.7%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Ty Chandler","MIN","1","16.7%","1","16.7%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Antonio Gibson","NE","2","6.9%","2","8.7%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Kenny Yeboah","NYJ","1","12.5%","1","20.0%","100.0%","1","100.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Peyton Hendershot","KC","1","20.0%","1","20.0%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Jeremy Ruckert","NYJ","3","10.7%","2","11.1%","66.7%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Michael Carter","ARI","2","18.2%","2","18.2%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Kenneth Gainwell","PHI","3","13.6%","3","18.8%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Tylan Wallace","BAL","1","8.3%","1","9.1%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Ronnie Bell","SF","1","16.7%","1","50.0%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"DJ Turner","LV","4","13.8%","1","6.3%","25.0%","1","100.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"John Bates","WAS","1","7.7%","1","12.5%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Ainias Smith","PHI","1","11.1%","1","14.3%","100.0%","1","100.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"David Bell","CLE","1","33.3%","1","33.3%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Zach Charbonnet","SEA","1","1.9%","1","2.4%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Brian Robinson Jr.","WAS","4","16.0%","2","10.0%","50.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Chris Brooks","GB","3","23.1%","2","18.2%","66.7%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Sincere McCormick","LV","1","14.3%","1","16.7%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Jerome Ford","CLE","1","2.3%","1","2.7%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Pierre Strong Jr.","CLE","1","4.5%","1","7.1%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Tyler Badie","DEN","1","33.3%","1","33.3%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Tyler Allgeier","ATL","1","7.7%","1","7.7%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Tyquan Thornton","NE","1","12.5%","1","25.0%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Bo Melton","GB","1","5.9%","1","12.5%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Daniel Bellinger","NYG","1","5.9%","1","7.1%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Connor Heyward","PIT","1","12.5%","1","16.7%","100.0%","1","100.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Chig Okonkwo","TEN","5","7.1%","3","5.8%","60.0%","1","50.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Drew Ogletree","IND","3","21.4%","2","22.2%","66.7%","1","100.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Stone Smartt","LAC","1","5.3%","1","6.3%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Tanner Conner","MIA","1","25.0%","1","33.3%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Derius Davis","LAC","2","11.8%","2","15.4%","100.0%","1","50.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Tyjae Spears","TEN","3","8.6%","3","10.0%","100.0%","1","100.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Trey Palmer","TB","2","9.1%","2","16.7%","100.0%","1","100.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Emanuel Wilson","GB","2","14.3%","2","18.2%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Jordan Mims","NO","1","5.6%","1","8.3%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Roschon Johnson","CHI","2","10.0%","1","6.3%","50.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Emari Demercado","ARI","4","20.0%","4","25.0%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Braelon Allen","NYJ","1","3.7%","1","5.3%","100.0%","1","100.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Carson Steele","KC","2","18.2%","1","14.3%","50.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Jonathon Brooks","CAR","2","66.7%","2","66.7%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Blake Watson","DEN","1","50.0%","1","100.0%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Devin Culp","TB","2","33.3%","1","20.0%","50.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Erick All Jr.","CIN","2","9.1%","2","10.0%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Mason Tipton","NO","1","3.8%","1","7.1%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
