"Name","Team","TGT","TGT%","REC","REC%","CATCH%","TDS","TD%","TGT","TGT%","REC","REC%","CATCH%","TDS","TD%"
"Amari Cooper","BUF","5","5.9%","4","9.1%","80.0%","2","50.0%","2","2.4%","2","4.5%","100.0%","1","25.0%"
"Jamison Crowder","WAS","3","23.1%","3","33.3%","100.0%","2","100.0%","2","15.4%","2","22.2%","100.0%","2","100.0%"
"Michael Burton","DEN","2","20.0%","2","20.0%","100.0%","1","100.0%","2","20.0%","2","20.0%","100.0%","1","100.0%"
"Derrick Henry","BAL","5","22.7%","4","21.1%","80.0%","2","100.0%","2","9.1%","1","5.3%","50.0%","1","50.0%"
"Curtis Samuel","BUF","6","13.0%","3","9.7%","50.0%","1","100.0%","2","4.3%","1","3.2%","50.0%","0","0.0%"
"Josh Reynolds","JAX","3","12.5%","2","15.4%","66.7%","1","100.0%","2","8.3%","1","7.7%","50.0%","1","100.0%"
"Eric Saubert","SF","4","28.6%","3","27.3%","75.0%","1","100.0%","2","14.3%","1","9.1%","50.0%","1","100.0%"
"Noah Brown","WAS","4","7.1%","3","8.6%","75.0%","0","0.0%","2","3.6%","1","2.9%","50.0%","0","0.0%"
"Kendrick Bourne","NE","2","5.3%","1","3.6%","50.0%","1","100.0%","2","5.3%","1","3.6%","50.0%","1","100.0%"
"Saquon Barkley","PHI","10","23.3%","8","24.2%","80.0%","2","100.0%","2","4.7%","1","3.0%","50.0%","0","0.0%"
"DJ Chark","LAC","2","20.0%","1","25.0%","50.0%","1","100.0%","2","20.0%","1","25.0%","50.0%","1","100.0%"
"Dante Pettis","NO","3","10.7%","1","8.3%","33.3%","1","100.0%","2","7.1%","1","8.3%","50.0%","1","100.0%"
"Dalton Schultz","HOU","8","9.4%","6","11.3%","75.0%","1","50.0%","2","2.4%","2","3.8%","100.0%","1","50.0%"
"Durham Smythe","MIA","3","17.6%","1","11.1%","33.3%","0","0.0%","2","11.8%","0","0.0%","0.0%","0","0.0%"
"Will Dissly","LAC","8","12.5%","4","8.0%","50.0%","1","50.0%","2","3.1%","1","2.0%","50.0%","1","50.0%"
"Tanner Hudson","CIN","4","17.4%","4","21.1%","100.0%","1","100.0%","2","8.7%","2","10.5%","100.0%","1","100.0%"
"Mecole Hardman","KC","5","35.7%","4","33.3%","80.0%","0","0.0%","2","14.3%","1","8.3%","50.0%","0","0.0%"
"Justice Hill","BAL","8","15.7%","6","14.3%","75.0%","2","66.7%","2","3.9%","0","0.0%","0.0%","0","0.0%"
"Dawson Knox","BUF","5","15.2%","1","4.5%","20.0%","1","100.0%","2","6.1%","0","0.0%","0.0%","0","0.0%"
"Josh Oliver","MIN","3","10.7%","3","13.6%","100.0%","3","100.0%","2","7.1%","2","9.1%","100.0%","2","66.7%"
"Greg Dortch","ARI","8","16.0%","8","21.6%","100.0%","2","66.7%","2","4.0%","2","5.4%","100.0%","2","66.7%"
"CeeDee Lamb","DAL","16","10.5%","11","10.9%","68.8%","4","66.7%","2","1.3%","1","1.0%","50.0%","1","16.7%"
"Travis Etienne Jr.","JAX","6","11.5%","3","7.7%","50.0%","0","0.0%","2","3.8%","0","0.0%","0.0%","0","0.0%"
"Juwan Johnson","NO","6","9.1%","5","10.0%","83.3%","3","100.0%","2","3.0%","1","2.0%","50.0%","1","33.3%"
"Brandon Aiyuk","SF","6","12.8%","3","12.0%","50.0%","0","0.0%","2","4.3%","1","4.0%","50.0%","0","0.0%"
"Rico Dowdle","DAL","7","14.3%","5","12.8%","71.4%","2","66.7%","2","4.1%","1","2.6%","50.0%","1","33.3%"
"Darnell Mooney","ATL","6","5.7%","2","3.1%","33.3%","1","20.0%","2","1.9%","0","0.0%","0.0%","0","0.0%"
"Kristian Wilkerson","LV","3","100.0%","2","100.0%","66.7%","1","100.0%","2","66.7%","1","50.0%","50.0%","1","100.0%"
